variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,lambda_alpha,lambda_beta
lp__,-43.6108505375,-43.30905,1.1870551726994791,0.9760697100000032,-45.996525,-42.305695,1.0010435533755342,2638.8880016328158,3183.4751376973595,0.5,0.005
mu,61.7892392875,61.909549999999996,14.449800945915996,15.225486570000008,37.75491000000001,85.17437499999998,1.0020084811284204,1646.148437856204,2088.8833139689723,0.5,0.005
sigma,20.66778321625,20.70125,3.373348026626583,3.451641059999996,15.08922,26.139199999999992,1.0017649198459666,2167.9813034357016,2586.4442555358837,0.5,0.005
lambda,47.7674700375,27.77165,59.14151005586839,25.47722079,5.9196185,154.0059999999999,1.0018149246661268,1726.4264699696996,2878.7019900863056,0.5,0.005
est_max,99.3369562875,99.3449,3.1346196896350595,3.1348835700000075,94.22887000000001,104.41069999999999,1.000150115799874,7648.006650690368,5327.449570859021,0.5,0.005
lp__,-43.593028725,-43.2697,1.300852125467732,1.0483464599999954,-46.047475,-42.193475,1.0010247167042154,2002.7302560924263,2562.6036201859633,0.5,5e-4
mu,56.78680046,57.19475,17.022623040035473,17.860956329999997,28.475,84.59985999999999,1.003100056473993,1283.0713943691226,1313.2162675069878,0.5,5e-4
sigma,21.38324021375,21.5248,3.626817859449261,3.6658026300000026,15.144530000000001,27.15487,1.002764064130715,1383.7422663812636,1329.1555111371272,0.5,5e-4
lambda,95.02846466875,38.689049999999995,180.28953777251536,40.32605282999999,6.4196845,364.29124999999965,1.0024629112986385,1460.1365217370835,1679.636405539179,0.5,5e-4
est_max,99.202215425,99.2356,3.069361551093482,2.9525237700000004,94.13404,104.1481,1.0003094761863631,7581.290095536115,5635.1736394002955,0.5,5e-4
lp__,-43.55783355,-43.1929,1.2913676392198894,1.0089092999999978,-46.16584999999999,-42.177195,1.0018974978390391,2168.374078663554,2071.156313213619,0.5,5e-5
mu,56.8706439775,57.15725,17.590344664259238,18.484167239999994,27.167585,85.08656999999998,1.0043110961541468,1243.2353181081935,1480.5849433837645,0.5,5e-5
sigma,21.1984327475,21.305349999999997,3.584354697649156,3.540745320000004,14.99636,26.890165,1.0032311414253772,1437.9993296264747,1353.9350173071946,0.5,5e-5
lambda,116.8805427475,39.5072,341.9584582172713,42.04090211999999,6.0921695,439.69935,1.0037908065553913,1433.5800081106859,2007.5173199834173,0.5,5e-5
est_max,99.1933992875,99.1467,3.0103505258975805,2.8896615299999993,94.39905999999999,104.17115000000001,1.0006372515397206,6746.57064923396,5502.357613566003,0.5,5e-5
lp__,-43.6408844875,-43.2636,1.3956079505665526,1.0835582100000056,-46.431915,-42.18029,1.0026993391350785,2083.9649697271984,1902.4299302829115,0.5,5e-6
mu,56.150233025,57.079049999999995,18.551404850413565,18.734059469999995,23.646835,85.07997999999999,1.0036381364602396,1411.2553934175992,1216.5382254452363,0.5,5e-6
sigma,21.26693545,21.3551,3.6450350636747997,3.7309629000000006,15.08512,27.056179999999998,1.0023047575223352,1696.6970865067804,1767.0370947931035,0.5,5e-6
lambda,154.86829673,40.161,504.6091073940475,43.114601040000004,5.8101910000000005,580.8140499999963,1.003652358965129,1529.1079846344335,1362.5216070619633,0.5,5e-6
est_max,99.0682546,99.11304999999999,3.0039331570414207,2.8554876000000027,94.155315,103.9881,1.0003913227635945,6413.786946031395,5284.842349297308,0.5,5e-6
lp__,-28.07628095,-27.750799999999998,1.2633645713875021,1.043676270000001,-30.589460000000003,-26.689890000000002,1.0002103377753526,3058.6558563202575,4045.6124025168338,5,0.05
mu,49.531286325,49.5045,8.81472237654255,9.00093873,35.269805,63.99145999999999,1.0014674366138305,2541.490611583957,2843.1704846742114,5,0.05
sigma,22.4759540125,22.365099999999998,2.7946298427911125,2.830431660000003,17.99888,27.184315,1.0022364784555837,2656.21499495764,2966.5078333563406,5,0.05
lambda,80.9142852875,74.9591,38.08970948831751,35.46690545999999,30.772685,153.38559999999995,1.0006038172694782,3258.8489036440924,2890.3425485625867,5,0.05
est_max,99.017209025,99.02865,2.83973930423341,2.7937373099999965,94.293105,103.6054,0.9999920303264804,8083.124235104633,5762.339529878434,5,0.05
lp__,-19.861508575,-19.499450000000003,1.3780248895370113,1.0991996400000006,-22.63377,-18.4071,1.0022584440492903,1819.309663135326,1761.5599262655373,5,0.005
mu,25.27922351825,25.5154,8.927657133714543,8.958462240000001,10.182234999999999,39.59043,1.005940941542126,1428.845941073026,1204.1230803567098,5,0.005
sigma,24.7492163375,24.647,2.5016494936307443,2.547996360000003,20.83899,29.051944999999996,1.0049559106109007,1534.270651010412,1831.748693152651,5,0.005
lambda,701.1699684,636.381,364.5911695263503,331.8073625999999,235.60975000000008,1391.9799999999998,1.0018695869175758,2864.1214714565745,3222.843300200484,5,0.005
est_max,98.0294719,98.02555000000001,2.4005470923110823,2.4081130499999945,94.08086,101.89205,0.999804243571005,8231.309293231343,5060.198300445668,5,0.005
lp__,-13.205892575,-12.8861,1.323387605378382,1.1072056799999979,-15.78226,-11.757390000000001,1.0029759630800734,1494.6568903313114,2094.6274506504615,5,5e-4
mu,9.7941948068125,9.02683,6.367669316129378,6.81521568,1.0183375000000001,21.439829999999986,1.0048301613802832,789.4783631348208,533.6069418824414,5,5e-4
sigma,24.88022395,24.89575,1.7558563031078434,1.7736343800000012,22.049065,27.72391,1.0040884888066253,1001.2507797989429,704.8478731656082,5,5e-4
lambda,5364.886941125,4842.8150000000005,3003.8390763235084,2814.693860999999,1524.709,11047.62,1.005215857471249,1293.5136348428803,804.5764751465185,5,5e-4
est_max,97.1114724375,97.1187,2.0557607217991642,2.031755039999984,93.697325,100.492,1.0001310655786617,5118.450194098069,5264.248219827006,5,5e-4
lp__,-8.52820805625,-8.14588,1.3747510529068683,1.0740028529999999,-11.374315,-7.072179,1.0126087519041338,511.6890866425377,172.63322048976963,5,5e-5
mu,4.69802070404625,3.48487,4.341598179265839,3.336895233,0.27111690000000005,13.028834999999999,1.0202975652658817,376.44246061800857,69.3969698788918,5,5e-5
sigma,23.111495975,23.1405,1.401707560553186,1.2496094100000004,20.887584999999998,25.3429,1.0192000391798517,317.61803655581446,70.65057224422782,5,5e-5
lambda,32530.167452,27271.25,21695.639459139427,17893.647660000002,8026.555500000001,73994.40499999998,1.0015477888171072,1977.300163596931,2330.912105203081,5,5e-5
est_max,95.920752825,95.93175,1.7914608715141644,1.797355980000009,93.0045,98.865985,1.0036013878777106,2872.9094871693137,4924.048301745913,5,5e-5
lp__,134.107992,134.4235,1.244631981664549,1.0163223000000068,131.69585,135.43605000000002,1.0017994939763526,2902.868231539447,3820.266406953773,50,0.5
mu,45.767491,45.9184,6.487766053438735,6.538784910000001,34.94546,55.82391,1.0009578941559658,2917.066198053757,2845.034896840099,50,0.5
sigma,22.9591363375,22.8759,2.5995674080319495,2.6273895899999995,18.82352,27.26805,1.0009240446548178,3089.8512893524276,3126.384864153591,50,0.5
lambda,97.595533275,97.3489,13.995735205429646,14.173730129999994,75.729065,121.49945,1.0010303086685783,3774.417433498365,3898.3460867487784,50,0.5
est_max,98.878069275,98.91470000000001,2.6657042355665443,2.6190870299999927,94.44458499999999,103.22904999999999,1.0004157559505278,9102.808806620726,5278.131074808046,50,0.5
lp__,245.61277175,245.976,1.398822815284519,1.1030543999999995,242.839,247.08104999999998,1.0006181007911,2017.7396091305898,2214.9296667402277,50,0.05
mu,20.9377203385375,21.27915,7.297780914728642,7.414186079999997,8.1986845,32.37914,1.0006626478624057,1920.302233648516,1680.7861870874092,50,0.05
sigma,24.9991221375,24.914099999999998,2.4034965723249595,2.4275351099999996,21.18146,29.225805,1.0008166429663798,1943.371219563378,2075.604279495535,50,0.05
lambda,964.995883,957.598,140.46595970790892,139.86848400000005,744.7769000000001,1206.3169999999998,1.0013496408021425,3210.2442257779594,2793.5576536778553,50,0.05
est_max,97.8436411,97.8825,2.3054441157246974,2.2461390000000008,94.00594000000001,101.55414999999999,1.0008597257265173,8434.982544633496,5963.472113022395,50,0.05
lp__,355.4925405,355.8465,1.343055974272295,1.0593176999999805,352.86569999999995,356.92404999999997,1.0021433370958055,1948.7198956911493,2081.3277867813467,50,0.005
mu,6.2755076927925,5.5131499999999996,4.374273908374364,4.5463113569999996,0.5765889,14.583399999999987,1.003508950823868,1154.1200131387968,866.3615360810929,50,0.005
sigma,24.42899505,24.552599999999998,1.3169170422325442,1.327964820000002,22.050555,26.342525000000002,1.0029786711610815,1191.379034332902,794.8605086734252,50,0.005
lambda,9451.99222,9370.4,1371.6404637143562,1343.8582920000001,7378.9505,11802.074999999997,1.0011799457591126,2448.9171510158526,2712.5723104050758,50,0.005
est_max,96.7035058875,96.70975,1.903714693490956,1.9072907699999924,93.56648,99.836395,1.0004544509629798,5543.767288664578,5497.039305456531,50,0.005
lp__,462.662294125,463.00649999999996,1.3257538375468527,1.0845218999999744,460.013,464.104,1.00270060550148,1901.28931287574,1244.2200714796888,50,5e-4
mu,2.69954151587375,2.0424550000000004,2.4074733445423884,2.0760729192,0.15001599999999998,7.5079,1.006276101635961,685.375802974103,276.7626131248693,50,5e-4
sigma,21.75539075,21.85705,0.7362293333964334,0.6644271900000001,20.40164,22.775134999999995,1.0059271077696725,570.4398810309445,267.5545385712514,50,5e-4
lambda,91885.5741125,91453.25,13675.400665420048,13703.523540000002,70534.88,115534.20000000001,1.0010077333761942,1830.7074504768327,2142.6931900928234,50,5e-4
est_max,95.007638125,95.04159999999999,1.5104725180543535,1.5198132599999923,92.453,97.43245,1.0010404568219102,3261.04340923556,3104.4667439704294,50,5e-4
lp__,1756.40469375,1756.72,1.279973807477877,1.0229940000000808,1753.9395,1757.77,1.0021073703240522,2823.8580821516543,3411.3822698191625,500,5
mu,45.2551260125,45.752300000000005,6.5297234920929075,6.521957400000011,33.972885000000005,55.19607499999999,1.0006518881463133,2777.140570450623,2594.0233868722016,500,5
sigma,23.067613825,22.893549999999998,2.663659381577157,2.628798059999999,18.9213,27.631924999999995,1.0006900610887932,2773.597114975225,3083.5294366086364,500,5
lambda,99.8705177125,99.82175000000001,4.342661570912469,4.344759300000003,92.99062,107.07515000000001,1.0005503139934382,4055.7080697322863,4071.453940122704,500,5
est_max,98.900005475,98.94335000000001,2.742816633953309,2.7139734300000034,94.39877,103.32639999999999,1.0019836873547996,8738.708131050536,5743.526196526585,500,5
lp__,2904.11647875,2904.47,1.3411523774392224,1.0674720000003775,2901.4595,2905.54,1.0022321587608862,1875.085188046292,1725.1409171254597,500,0.5
mu,20.5720868312875,20.953699999999998,7.088350505803215,7.341983460000002,8.3662095,31.74455499999999,1.0020510903575799,1712.6280874859349,1469.1302278584071,500,0.5
sigma,25.0063324,24.87565,2.37003500791393,2.41263498,21.274875,29.0992,1.0018148170760595,1788.3348605108838,1617.5052004898928,500,0.5
lambda,995.374695875,995.1385,43.64452869641021,44.02803089999985,924.4415499999999,1068.0049999999999,1.0006685255919652,3208.611762734412,3119.9427068265995,500,0.5
est_max,97.8053408,97.7854,2.2901472173874593,2.292099599999999,94.05349000000001,101.56305,1.0009919396100153,8705.192334029594,6116.898099181502,500,0.5
lp__,4050.0744275,4050.4449999999997,1.3524469717313026,1.0600590000002157,4047.33,4051.5,1.0009377683094316,1436.6543516758002,1284.5004282297298,500,0.05
mu,6.51878716694375,5.74563,4.552068949237971,4.709627159999999,0.6156239000000002,14.92654999999997,1.007295895361523,402.02521167601554,263.1528321578901,500,0.05
sigma,24.24951585,24.41065,1.357617158095305,1.3809677699999998,21.8094,26.152514999999998,1.0082263811073242,402.5390335629607,244.50715504431216,500,0.05
lambda,9938.2015025,9936.575,456.0366981326425,442.0964939999994,9161.1225,10701.515,1.0017820865470897,1403.710695301434,687.842263752188,500,0.05
est_max,96.6591378,96.6986,1.8705621249958777,1.8496176299999951,93.56268,99.67619,1.0012796558664698,3534.7392206527675,4513.440404076009,500,0.05
lp__,5193.45975125,5193.78,1.207555340082124,0.9785159999997842,5191.09,5194.79,1.000509920283717,2469.9374442697895,3072.7738620399687,500,0.005
mu,2.443417524760375,1.94102,2.017025163626751,1.8815817446999998,0.1452512,6.52666,1.0019716815838127,1408.6616305016587,1484.6268203972836,500,0.005
sigma,21.713443475,21.7913,0.5982509860022848,0.5754711900000019,20.58937,22.57411,1.0023742863423957,1459.4627491480016,1087.898288324671,500,0.005
lambda,99057.638725,99085.25,4311.782212119597,4288.79115,91866.94499999999,106270,1.000872745892747,3282.7290465509263,3324.0357544965814,500,0.005
est_max,94.99771895,95.00475,1.4216461214628033,1.413584969999995,92.61299000000001,97.307565,1.0005608462541817,5047.432638803653,4817.448773932092,500,0.005
